iter	Logloss
0	0.6347640551
1	0.5864380722
2	0.5463628152
3	0.5120953616
4	0.4842170982
5	0.4603547995
6	0.4389528956
7	0.4207880453
8	0.4054318356
9	0.3923782613
10	0.3809140352
11	0.3705236315
12	0.3615548549
13	0.3527691656
14	0.3454736149
15	0.3388617885
16	0.333083766
17	0.3283535325
18	0.3246844017
19	0.3203217007
20	0.3160584009
21	0.3121677337
22	0.3092659621
23	0.3065209757
24	0.3045186688
25	0.3022208434
26	0.3004672331
27	0.2988428598
28	0.2977391974
29	0.2959868898
30	0.2944778517
31	0.2929816468
32	0.2914955098
33	0.290729123
34	0.2900272696
35	0.2887719719
36	0.2883608697
37	0.287664881
38	0.2870519372
39	0.2864936235
40	0.2856163137
41	0.2849157714
42	0.2842412958
43	0.2836337215
44	0.2829444495
45	0.282374054
46	0.2819800991
47	0.2814393523
48	0.2811652018
49	0.2805390218
50	0.2801010988
51	0.2797461516
52	0.27933585
53	0.2789054269
54	0.2786727275
55	0.2781194055
56	0.2777820419
57	0.277395835
58	0.2770076953
59	0.2766794713
60	0.2763302379
61	0.2760457301
62	0.2758194927
63	0.2755301804
64	0.2752852768
65	0.2750216635
66	0.2748148949
67	0.2746665596
68	0.2744081709
69	0.2741899828
70	0.2740512657
71	0.2736834421
72	0.2734762314
73	0.2732608375
74	0.2730236382
75	0.2727549962
76	0.27252472
77	0.2723302396
78	0.2719981675
79	0.27187016
80	0.2716366209
81	0.2713763617
82	0.2709972846
83	0.270920892
84	0.2706930165
85	0.2705102926
86	0.2702367358
87	0.2699777717
88	0.2696508161
89	0.2694197457
90	0.2691458993
91	0.2690126851
92	0.2688139301
93	0.2686316951
94	0.2683964308
95	0.2681702685
96	0.2678316517
97	0.2677038915
98	0.2675872891
99	0.2673444832
100	0.2672246194
101	0.2671207089
102	0.2669877991
103	0.2666943507
104	0.2664068728
105	0.2661978844
106	0.2660548493
107	0.2657445468
108	0.2654405767
109	0.2653535758
110	0.2650695116
111	0.2649069188
112	0.2647545248
113	0.2644625818
114	0.2642098309
115	0.263975759
116	0.2637402962
117	0.2635551919
118	0.2633569847
119	0.2632568873
120	0.2630556853
121	0.2629003241
122	0.2626682687
123	0.2623707786
124	0.2622705507
125	0.2620980536
126	0.2619356575
127	0.2617772154
128	0.2615957471
129	0.2614380357
130	0.2613662328
131	0.2611506313
132	0.2609423846
133	0.2608444253
134	0.2606955883
135	0.2605078367
136	0.2604142748
137	0.2602664467
138	0.2600545131
139	0.2599033647
